RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
18,2344,2025-01-03 21:01:28.8017026,8197,Info,Microsoft-Windows-Security-SPP,Application,3720,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""RuleId=8244d55f-dcd7-4010-8151-2a5af187b1ed;Action=NotifyUser;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=3f4c0546-36c6-46a8-a37f-be13cdd0cf25;NotificationInterval=240;Trigger=TimerEvent"",""Binary"":""""}}"
19,2345,2025-01-03 21:01:29.6206540,1013,LogAlways,Microsoft-Windows-Security-SPP,Application,6068,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""3f4c0546-36c6-46a8-a37f-be13cdd0cf25"",""Binary"":""""}}"
20,2346,2025-01-03 21:01:29.6312271,1004,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""XrML 2.1 License - {msft:sl/EUL/ACTIVATED/PUBLIC}, ad55b633-ea43-4c46-b4f6-4cfb7ca77c32"",""Binary"":""""}}"
21,2347,2025-01-03 21:01:29.6315321,1004,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""XrML 2.1 License - {msft:sl/EUL/ACTIVATED/PRIVATE}, b0d34c47-e5f9-4fa4-ba55-d6aec4711ffa"",""Binary"":""""}}"
22,2348,2025-01-03 21:01:29.6480754,1067,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""0x00000000, 3f4c0546-36c6-46a8-a37f-be13cdd0cf25, SL_ACTIVATION_VALIDATION_IN_PROGRESS"",""Binary"":""01-00-00-00""}}"
23,2349,2025-01-03 21:01:31.1137326,20488,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
24,2350,2025-01-03 21:01:31.3969139,20481,Info,Microsoft-Windows-Security-SPP,Application,6736,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
25,2351,2025-01-03 21:01:31.6115628,20482,Info,Microsoft-Windows-Security-SPP,Application,6736,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
26,2352,2025-01-03 21:01:31.7509345,1034,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Security-SPP-WriteWauMarker, 500"",""Binary"":""""}}"
27,2353,2025-01-03 21:01:31.8082870,20489,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
28,2354,2025-01-03 21:01:33.1453636,12305,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f"",""Binary"":""""}}"
29,2355,2025-01-03 21:01:33.1465723,12304,Info,Microsoft-Windows-Security-SPP,Application,6068,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""{99d92734-d682-4d71-983e-d6ec3f16059f}"",""Binary"":""""}}"
30,2356,2025-01-03 21:01:34.1611922,12311,Info,Microsoft-Windows-Security-SPP,Application,6068,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
31,2357,2025-01-03 21:01:34.5828344,1034,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Security-SPP-WriteWauMarker, 500"",""Binary"":""""}}"
32,2358,2025-01-03 21:01:34.6649417,1003,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f, \n1: 3f4c0546-36c6-46a8-a37f-be13cdd0cf25, 1, 1 [(0 [0xC004E003, 0, 0], [( 9 0xC004FC07 90 0)( 1 0x00000000)(?)( 2 0x00000000 0 0 msft:rm/algorithm/hwid/4.0 0x00000000 0)(?)( 9 0xC004FC07 90 0)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 0 0)( 1 0x00000000)( 6 0xC004F009 0 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004FC07)])]\n\n"",""Binary"":""""}}"
33,2359,2025-01-03 21:01:34.9026648,1003,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f, \n1: 3f4c0546-36c6-46a8-a37f-be13cdd0cf25, 1, 1 [(0 [0xC004E003, 0, 0], [( 9 0xC004FC07 90 0)( 1 0x00000000)(?)( 2 0x00000000 0 0 msft:rm/algorithm/hwid/4.0 0x00000000 0)(?)( 9 0xC004FC07 90 0)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 0 0)( 1 0x00000000)( 6 0xC004F009 0 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004FC07)])]\n\n"",""Binary"":""""}}"
34,2360,2025-01-03 21:01:35.0934755,8197,Info,Microsoft-Windows-Security-SPP,Application,6036,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""RuleId=8244d55f-dcd7-4010-8151-2a5af187b1ed;Action=NotifyUser;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=3f4c0546-36c6-46a8-a37f-be13cdd0cf25;NotificationInterval=240;Trigger=UserLogon;SessionId=1"",""Binary"":""""}}"
35,2361,2025-01-03 21:01:47.2340030,1003,Info,Microsoft-Windows-Search,Application,7840,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":{""@Name"":""ExtraInfo"",""#text"":"", ""}}}"
36,2362,2025-01-03 21:02:13.0572551,0,Info,edgeupdate,Application,10328,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Service stopped"",""Binary"":""""}}"
37,2363,2025-01-03 21:03:07.8072432,0,Info,edgeupdate,Application,2752,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Service stopped"",""Binary"":""""}}"
38,2364,2025-01-03 21:03:08.6735110,1,Info,SecurityCenter,Application,8468,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
39,2365,2025-01-03 21:03:10.6874025,15,Info,SecurityCenter,Application,8468,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Windows Defender, SECURITY_PRODUCT_STATE_ON"",""Binary"":""""}}"
40,2366,2025-01-03 21:04:16.0553809,15,Info,SecurityCenter,Application,8468,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Windows Defender, SECURITY_PRODUCT_STATE_ON"",""Binary"":""""}}"
41,2367,2025-01-03 21:05:15.8878324,1040,Info,MsiInstaller,Application,8292,0,WinDev2401Eval,0,S-1-5-21-1837475949-2032650698-3025450431-1000,Installer Started,,,,,,,,,C:\ProgramData\Package Cache\{560D2DA4-096E-4868-B22A-DA6418FDE6FB}v14.40.33816\packages\vcRuntimeMinimum_amd64\vc_runtimeMinimum_x64.msi,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""C:\\ProgramData\\Package Cache\\{560D2DA4-096E-4868-B22A-DA6418FDE6FB}v14.40.33816\\packages\\vcRuntimeMinimum_amd64\\vc_runtimeMinimum_x64.msi, 8204, (NULL), (NULL), (NULL), (NULL)"",""Binary"":""""}}"
42,2368,2025-01-03 21:05:16.0379889,10000,Info,Microsoft-Windows-RestartManager,Application,8292,6008,WinDev2401Eval,0,S-1-5-21-1837475949-2032650698-3025450431-1000,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,Classic,0,"{""UserData"":{""RmSessionEvent"":{""RmSessionId"":""0"",""UTCStartTime"":""2025-01-03 21:05:16.0285030""}}}"
43,2369,2025-01-03 21:05:16.1808549,10000,Info,Microsoft-Windows-RestartManager,Application,8204,2612,WinDev2401Eval,0,S-1-5-21-1837475949-2032650698-3025450431-1000,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,Classic,0,"{""UserData"":{""RmSessionEvent"":{""RmSessionId"":""1"",""UTCStartTime"":""2025-01-03 21:05:16.1801498""}}}"
44,2370,2025-01-03 21:05:16.2160611,10000,Info,Microsoft-Windows-RestartManager,Application,8292,3816,WinDev2401Eval,0,S-1-5-21-1837475949-2032650698-3025450431-1000,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,Classic,0,"{""UserData"":{""RmSessionEvent"":{""RmSessionId"":""0"",""UTCStartTime"":""2025-01-03 21:05:16.2145663""}}}"
45,2371,2025-01-03 21:05:16.2724634,10000,Info,Microsoft-Windows-RestartManager,Application,8204,2612,WinDev2401Eval,0,S-1-5-21-1837475949-2032650698-3025450431-1000,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,Classic,0,"{""UserData"":{""RmSessionEvent"":{""RmSessionId"":""1"",""UTCStartTime"":""2025-01-03 21:05:16.2715187""}}}"
46,2372,2025-01-03 21:05:18.6292253,1025,Info,MsiInstaller,Application,8292,0,WinDev2401Eval,0,S-1-5-21-1837475949-2032650698-3025450431-1000,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33816, C:\\Windows\\system32\\msvcp140.dll, msteams, 7116, (NULL), (NULL)"",""Binary"":""7B-35-36-30-44-32-44-41-34-2D-30-39-36-45-2D-34-38-36-38-2D-42-32-32-41-2D-44-41-36-34-31-38-46-44-45-36-46-42-7D""}}"
47,2373,2025-01-03 21:05:18.6293790,1025,Info,MsiInstaller,Application,8292,0,WinDev2401Eval,0,S-1-5-21-1837475949-2032650698-3025450431-1000,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33816, C:\\Windows\\system32\\msvcp140.dll, OneDrive, 11004, (NULL), (NULL)"",""Binary"":""7B-35-36-30-44-32-44-41-34-2D-30-39-36-45-2D-34-38-36-38-2D-42-32-32-41-2D-44-41-36-34-31-38-46-44-45-36-46-42-7D""}}"
48,2374,2025-01-03 21:05:18.6626687,1025,Info,MsiInstaller,Application,8292,0,WinDev2401Eval,0,S-1-5-21-1837475949-2032650698-3025450431-1000,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33816, C:\\Windows\\system32\\vcruntime140.dll, msteams, 7116, (NULL), (NULL)"",""Binary"":""7B-35-36-30-44-32-44-41-34-2D-30-39-36-45-2D-34-38-36-38-2D-42-32-32-41-2D-44-41-36-34-31-38-46-44-45-36-46-42-7D""}}"
49,2375,2025-01-03 21:05:18.6628539,1025,Info,MsiInstaller,Application,8292,0,WinDev2401Eval,0,S-1-5-21-1837475949-2032650698-3025450431-1000,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33816, C:\\Windows\\system32\\vcruntime140.dll, OneDrive, 11004, (NULL), (NULL)"",""Binary"":""7B-35-36-30-44-32-44-41-34-2D-30-39-36-45-2D-34-38-36-38-2D-42-32-32-41-2D-44-41-36-34-31-38-46-44-45-36-46-42-7D""}}"
50,2376,2025-01-03 21:05:18.7285155,11707,Info,MsiInstaller,Application,8292,0,WinDev2401Eval,0,S-1-5-21-1837475949-2032650698-3025450431-1000,Installation completed successfully,,,"Product: Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33816 -- Installation completed successfully., (NULL), (NULL), (NULL), (NULL), (NULL)",,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Product: Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33816 -- Installation completed successfully., (NULL), (NULL), (NULL), (NULL), (NULL)"",""Binary"":""7B-35-36-30-44-32-44-41-34-2D-30-39-36-45-2D-34-38-36-38-2D-42-32-32-41-2D-44-41-36-34-31-38-46-44-45-36-46-42-7D""}}"
51,2377,2025-01-03 21:05:18.7286898,1033,Info,MsiInstaller,Application,8292,0,WinDev2401Eval,0,S-1-5-21-1837475949-2032650698-3025450431-1000,A program was installed,,,"Name, Version, Lang, Status, Manufacturer: Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33816, 14.40.33816, 1033, 0, Microsoft Corporation, (NULL)",,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33816, 14.40.33816, 1033, 0, Microsoft Corporation, (NULL)"",""Binary"":""7B-35-36-30-44-32-44-41-34-2D-30-39-36-45-2D-34-38-36-38-2D-42-32-32-41-2D-44-41-36-34-31-38-46-44-45-36-46-42-7D-30-30-30-30-37-61-37-35-37-35-32-64-38-33-61-34-63-30-35-37-36-33-65-35-62-63-35-63-64-33-36-62-35-30-38-36-30-30-30-30-30-39-30-34""}}"
52,2378,2025-01-03 21:05:18.7288191,1038,Info,MsiInstaller,Application,8292,0,WinDev2401Eval,0,S-1-5-21-1837475949-2032650698-3025450431-1000,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33816, 14.40.33816, 1033, 2, 1, Microsoft Corporation"",""Binary"":""7B-35-36-30-44-32-44-41-34-2D-30-39-36-45-2D-34-38-36-38-2D-42-32-32-41-2D-44-41-36-34-31-38-46-44-45-36-46-42-7D-30-30-30-30-37-61-37-35-37-35-32-64-38-33-61-34-63-30-35-37-36-33-65-35-62-63-35-63-64-33-36-62-35-30-38-36-30-30-30-30-30-39-30-34""}}"
53,2379,2025-01-03 21:05:18.7289299,1029,Info,MsiInstaller,Application,8292,0,WinDev2401Eval,0,S-1-5-21-1837475949-2032650698-3025450431-1000,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33816, (NULL), (NULL), (NULL), (NULL), (NULL)"",""Binary"":""7B-35-36-30-44-32-44-41-34-2D-30-39-36-45-2D-34-38-36-38-2D-42-32-32-41-2D-44-41-36-34-31-38-46-44-45-36-46-42-7D-2C-20-33-30-31-30""}}"
54,2380,2025-01-03 21:05:18.7374721,1042,Info,MsiInstaller,Application,8292,0,WinDev2401Eval,0,S-1-5-18,Installer Exited,,,,,,,,,C:\ProgramData\Package Cache\{560D2DA4-096E-4868-B22A-DA6418FDE6FB}v14.40.33816\packages\vcRuntimeMinimum_amd64\vc_runtimeMinimum_x64.msi,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""C:\\ProgramData\\Package Cache\\{560D2DA4-096E-4868-B22A-DA6418FDE6FB}v14.40.33816\\packages\\vcRuntimeMinimum_amd64\\vc_runtimeMinimum_x64.msi, 8204, (NULL), (NULL), (NULL), (NULL)"",""Binary"":""""}}"
